Type,Price,Bedrooms,Is_Equiped_Kitchen,State,Facades,Swim_pool,Municipality,Region,TX_MUNTY_DESCR_NL,Average_Income,Bedroom_Bin_Code,Log_Living_Area,Sqrt_Total_Outdoor_Area
1,329000,2,1,1,3,0,7,1,232,30706.557562981663,2,4.820281565605037,4.614831870157771
1,180000,3,0,3,2,1,2,2,232,25779.89450284783,2,4.9344739331306915,1.4142135623730951
1,369000,6,0,5,3,1,8,1,30,37961.10090018443,4,5.442417710521793,4.614831870157771
1,145000,2,1,1,2,0,7,1,108,31074.861121926533,2,4.394449154672439,0.0
1,269000,3,1,1,2,0,7,1,108,31074.861121926533,2,5.049856007249537,13.784048752090222
1,139000,2,1,1,2,0,7,1,108,31074.861121926533,2,4.7535901911063645,2.0
1,140000,2,1,1,3,0,2,2,232,25779.89450284783,2,4.51085950651685,6.928203230275509
1,749000,7,1,3,4,1,0,1,232,31358.121710453855,4,5.924255797414532,4.614831870157771
1,299000,3,1,2,3,0,0,1,122,31024.111896410206,2,4.875197323201151,4.614831870157771
1,149900,2,0,1,4,0,7,1,232,30706.557562981663,2,4.110873864173311,12.700262721291393
1,219000,3,0,5,2,0,3,1,0,31823.58151691327,2,4.820281565605037,9.235619805396055
1,550000,5,0,1,4,0,10,1,109,30929.780546561065,3,5.37989735354046,0.0
1,300000,3,1,3,3,1,7,1,126,34026.30585902743,2,4.7535901911063645,4.242640687119285
1,695000,3,0,3,4,0,8,1,157,34558.824976419324,2,5.278114659230517,4.47213595499958
1,239000,2,0,5,2,0,2,2,232,25779.89450284783,2,5.278114659230517,0.0
1,495000,3,1,2,3,0,0,1,113,33998.84850368413,2,5.262690188904886,4.614831870157771
1,319000,3,0,1,0,0,10,1,73,32381.82994695414,2,5.049856007249537,4.614831870157771
1,269000,3,1,1,2,0,0,1,122,31024.111896410206,2,4.955827057601261,4.614831870157771
1,225000,3,0,2,0,0,3,1,0,31823.58151691327,2,4.61512051684126,0.0
1,795000,8,0,4,0,0,10,1,58,31549.981281934695,4,5.958424693029782,0.0
1,396353,3,0,3,0,0,7,1,232,30706.557562981663,2,4.820281565605037,0.0
1,540000,3,0,1,3,0,7,1,34,32514.265610197024,2,5.241747015059643,4.123105625617661
1,399000,5,1,1,4,1,8,1,114,37600.922861259096,3,5.1647859739235145,11.013476889240014
0,224000,2,0,1,2,0,0,1,177,32218.754835245683,2,4.844187086458591,4.614831870157771
1,430000,3,0,2,0,0,8,1,232,36107.18368952242,2,4.976733742420574,3.4641016151377544
1,600000,4,0,1,3,1,2,2,232,25779.89450284783,3,4.820281565605037,4.614831870157771
1,498000,3,0,2,0,0,10,1,232,30270.018399760407,2,5.204006687076795,4.614831870157771
0,492216,3,0,2,0,0,0,1,85,37680.97418735411,2,5.111987788356544,2.449489742783178
1,749000,4,1,1,4,1,8,1,232,36107.18368952242,3,5.811140992976701,4.614831870157771
1,849000,7,1,1,0,0,0,1,15,27334.969813259442,4,5.929589143389895,9.554929261372052
1,89000,2,0,4,0,0,10,1,232,30270.018399760407,2,4.6443908991413725,12.24744871391589
1,485000,2,0,2,2,0,0,1,15,27334.969813259442,2,5.056245805348308,0.0
1,345000,3,0,1,4,0,7,1,232,30706.557562981663,2,4.983606621708336,29.619194337284462
0,385000,2,0,1,0,0,8,1,232,36107.18368952242,2,4.812184355372417,4.614831870157771
0,317000,0,0,1,0,0,7,1,232,30706.557562981663,1,4.820281565605037,0.0
1,396353,3,0,3,0,0,7,1,232,30706.557562981663,2,4.820281565605037,0.0
0,129000,1,1,1,2,1,1,0,9,22389.864000886755,1,3.58351893845611,2.0
0,380000,2,1,1,0,0,7,1,232,30706.557562981663,2,4.605170185988092,3.1622776601683795
1,315000,3,0,1,0,0,7,1,126,34026.30585902743,2,5.37989735354046,0.0
0,205000,0,1,3,2,1,1,0,216,26289.640321007417,1,3.8918202981106265,1.7320508075688772
1,265000,3,0,5,2,0,8,1,232,36107.18368952242,2,5.081404364984463,4.614831870157771
0,399500,3,1,2,0,0,0,1,3,38940.541291134774,2,4.574710978503383,2.6457513110645907
1,475000,4,1,2,2,0,7,1,232,30706.557562981663,3,5.342334251964811,0.0
1,235000,2,1,1,2,0,7,1,87,28893.22531758631,2,4.820281565605037,0.0
1,168000,2,1,2,2,0,2,2,232,25779.89450284783,2,4.634728988229636,10.488088481701515
1,149000,2,1,2,4,0,2,2,68,25604.589161092208,2,4.394449154672439,31.937438845342623
1,100000,2,1,4,2,0,2,2,232,25779.89450284783,2,4.976733742420574,5.0
1,725000,5,1,3,2,0,7,1,107,29901.88590354923,3,5.541263545158426,8.366600265340756
1,299000,2,0,6,0,0,7,1,232,30706.557562981663,2,4.795790545596741,12.569805089976535
1,625000,4,1,2,4,0,8,1,232,36107.18368952242,3,5.476463551931511,4.614831870157771
0,365000,2,1,2,2,0,8,1,149,39682.699819284964,2,4.727387818712341,3.3166247903554
1,279000,3,1,5,2,0,3,1,0,31823.58151691327,2,4.820281565605037,7.829219194135765
0,239900,2,0,3,0,1,5,2,232,32624.60033618776,2,4.584967478670572,4.614831870157771
0,408000,2,1,3,2,0,0,1,232,31358.121710453855,2,4.68213122712422,3.3166247903554
1,179000,2,0,1,3,0,6,2,232,27685.1392926092,2,4.8283137373023015,3.0
0,320000,2,0,3,2,0,8,1,19,34534.216060062754,2,4.6913478822291435,5.830951894845301
1,570000,5,1,1,2,1,8,1,232,36107.18368952242,3,5.733341276897746,8.366600265340756
1,698000,3,1,3,4,0,8,1,2,32603.14664489695,2,5.645446897643238,4.614831870157771
1,670000,4,0,4,2,0,1,0,232,29190.307316645296,3,5.198497031265826,13.038404810405298
0,619000,3,1,3,0,1,1,0,232,29190.307316645296,2,5.049856007249537,5.744562646538029
0,359900,2,0,3,2,0,8,1,19,34534.216060062754,2,4.6913478822291435,5.830951894845301
0,325000,2,0,3,2,0,8,1,19,34534.216060062754,2,4.499809670330265,6.4031242374328485
0,317500,2,0,3,2,0,8,1,19,34534.216060062754,2,4.499809670330265,6.082762530298219
0,310500,2,0,3,2,0,8,1,19,34534.216060062754,2,4.465908118654584,3.4641016151377544
0,268800,1,1,3,2,0,8,1,19,34534.216060062754,1,4.356708826689592,6.164414002968976
0,345000,2,0,3,2,0,8,1,19,34534.216060062754,2,4.584967478670572,3.7416573867739413
0,315000,2,0,3,2,0,8,1,19,34534.216060062754,2,4.465908118654584,6.855654600401044
1,695000,8,1,5,4,1,9,2,232,39880.409930547525,4,6.082218910376446,42.07136793592526
1,690000,4,1,1,4,0,0,1,232,31358.121710453855,3,5.602118820879701,0.0
0,385000,3,1,1,2,1,8,1,145,45503.32965418342,2,5.056245805348308,4.614831870157771
0,242000,1,1,1,2,1,7,1,107,29901.88590354923,1,4.110873864173311,0.0
1,229000,4,1,3,3,1,7,1,198,26728.266736404294,3,4.919980925828125,15.165750888103101
0,311500,2,1,2,4,0,0,1,142,38454.70360474685,2,4.465908118654584,5.5677643628300215
0,550000,3,1,2,4,0,0,1,142,38454.70360474685,2,4.859812404361672,8.306623862918075
0,257500,1,1,2,4,0,0,1,142,38454.70360474685,1,4.127134385045092,4.898979485566356
0,343500,2,1,2,4,0,0,1,142,38454.70360474685,2,4.564348191467836,3.605551275463989
0,215500,1,1,2,4,0,0,1,142,38454.70360474685,1,4.060443010546419,2.0
0,378500,3,1,2,4,0,0,1,142,38454.70360474685,2,4.68213122712422,6.557438524302
0,725000,3,1,3,4,1,1,0,201,23836.254744521055,2,5.14166355650266,12.24744871391589
0,395000,3,1,3,0,0,5,2,232,32624.60033618776,2,4.9344739331306915,6.782329983125268
1,310000,2,1,2,3,0,6,2,232,27685.1392926092,2,5.017279836814924,13.152946437965905
1,479000,3,1,1,4,1,9,2,232,39880.409930547525,2,4.90527477843843,24.20743687382041
1,139000,3,1,5,2,0,2,2,232,25779.89450284783,2,4.653960350157523,0.0
1,175000,2,0,1,0,0,10,1,232,30270.018399760407,2,4.634728988229636,4.614831870157771
1,885000,6,1,3,4,1,2,2,232,25779.89450284783,4,6.111467339502679,4.614831870157771
0,279000,2,0,1,0,0,1,0,146,24290.646522599087,2,4.564348191467836,0.0
0,249000,2,1,6,2,0,7,1,232,30706.557562981663,2,4.59511985013459,0.0
0,215000,2,1,1,2,1,10,1,42,26695.28528963925,2,4.356708826689592,2.449489742783178
1,269000,3,1,4,2,0,1,0,103,26407.902615637344,2,4.919980925828125,4.614831870157771
1,219000,2,0,1,4,0,10,1,232,30270.018399760407,2,4.394449154672439,0.0
1,229000,2,0,1,4,0,10,1,232,30270.018399760407,2,4.394449154672439,0.0
1,369000,3,0,1,2,0,10,1,58,31549.981281934695,2,4.820281565605037,11.1935996529188
1,635000,3,0,1,4,0,10,1,232,30270.018399760407,2,4.820281565605037,4.614831870157771
1,260000,3,0,4,2,0,10,1,70,33031.81871771492,2,5.062595033026967,5.477225575051661
1,259000,4,0,1,4,0,7,1,167,30695.52809974486,3,4.969813299576001,4.614831870157771
1,245000,3,1,1,3,0,8,1,232,36107.18368952242,2,4.983606621708336,4.614831870157771
1,635000,4,0,1,3,0,7,1,232,30706.557562981663,3,5.308267697401205,4.47213595499958
1,495000,4,0,1,3,0,7,1,232,30706.557562981663,3,5.356586274672012,4.614831870157771
1,945000,4,0,3,4,0,7,1,232,30706.557562981663,3,5.384495062789089,4.614831870157771
0,365000,3,0,3,0,0,7,1,232,30706.557562981663,2,4.844187086458591,2.8284271247461903
1,899000,4,0,5,4,0,7,1,232,30706.557562981663,3,6.317164686747284,4.614831870157771
1,845000,5,0,4,4,1,7,1,232,30706.557562981663,3,5.680172609017068,4.47213595499958
1,975000,3,0,1,4,0,7,1,232,30706.557562981663,2,5.488937726156687,4.898979485566356
1,100000,2,0,4,2,1,2,2,193,23101.18931860578,2,4.709530201312334,4.614831870157771
1,419000,3,1,1,4,0,7,1,232,30706.557562981663,2,5.081404364984463,0.0
0,865000,3,1,4,3,1,1,0,88,29043.250210834765,2,5.278114659230517,6.708203932499369
1,819000,6,1,1,4,1,4,2,232,29112.009816532005,4,5.746203190540153,62.73754856543249
1,429000,4,1,1,0,0,3,1,156,28921.35726712701,3,5.187385805840755,0.0
1,110000,2,0,2,2,0,4,2,232,29112.009816532005,2,4.727387818712341,0.0
0,138000,1,1,5,2,0,8,1,223,36752.0648119892,1,3.9318256327243257,0.0
0,239000,2,0,1,2,0,1,0,232,29190.307316645296,2,4.564348191467836,0.0
1,425000,4,1,3,3,1,10,1,232,30270.018399760407,3,5.594711379601839,0.0
0,255000,3,0,3,0,0,0,1,232,31358.121710453855,2,4.48863636973214,4.614831870157771
0,235000,0,0,1,0,0,7,1,107,29901.88590354923,1,3.7376696182833684,0.0
1,189000,2,0,1,3,1,7,1,126,34026.30585902743,2,5.327876168789581,8.717797887081348
1,319000,3,1,1,4,1,2,2,232,25779.89450284783,2,4.890349128221754,50.11283940458596
1,375000,3,0,4,3,0,0,1,232,31358.121710453855,2,5.303304908059076,0.0
1,339000,4,1,5,4,1,0,1,232,31358.121710453855,3,5.170483995038151,4.614831870157771
1,395000,3,1,1,3,1,9,2,232,39880.409930547525,2,5.017279836814924,27.748873851023216
0,199900,1,1,3,3,0,2,2,232,25779.89450284783,1,4.820281565605037,2.0
1,199900,1,1,3,3,1,2,2,232,25779.89450284783,1,4.820281565605037,2.0
1,230000,3,0,1,3,0,2,2,232,25779.89450284783,2,5.187385805840755,0.0
